全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_全国地方公共団体コード,町字ID,所在地,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,郵便番号,法人番号,団体名,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,利用可能日時特記事項,小児対応設備の有無,URL
382027,47,愛媛県今治市,宮窪石文化運動公園,ミヤクボイシブンカウンドウコウエン,382027,198000,愛媛県今治市宮窪町宮窪3546,愛媛県,今治市,宮窪町宮窪,3546,,34.15992,133.06961,,,野球場事務所,,,7942203,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356980
382027,48,愛媛県今治市,宮窪石文化運動公園,ミヤクボイシブンカウンドウコウエン,382027,198000,愛媛県今治市宮窪町宮窪3546,愛媛県,今治市,宮窪町宮窪,3546,,34.16054,133.07184,,,石文化伝承館玄関フロア,,,7942203,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356979
382027,49,愛媛県今治市,吉海B&G海洋センター体育館,ヨシウミB&Gカイヨウセンタータイイクカン,382027,216000,愛媛県今治市吉海町福田1290,愛媛県,今治市,吉海町福田,1290,,34.155309,133.04192,,,玄関ホール廊下壁面,,,7942103,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356978
382027,50,愛媛県今治市,波方公園運動場プール,ナミカタコウエンウンドウジョウプール,382027,154000,愛媛県今治市波方町樋口乙730,愛媛県,今治市,波方町樋口,乙730,,34.10434,132.94971,,,事務所,,,7992102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357016
382027,51,愛媛県今治市,波方公園運動場野球場,ナミカタコウエンウンドウジョウヤキュウジョウ,382027,154000,愛媛県今治市波方町樋口乙730,愛媛県,今治市,波方町樋口,乙730,,34.10389,132.9499,,,野球場バックスタンド 玄関,,,7992102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357015
382027,52,愛媛県今治市,鹿ノ子プール,カノコプール,382027,183000,愛媛県今治市町谷443-1,愛媛県,今治市,町谷,443-1,,34.020875,132.99941,,,事務所,,,7991514,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357014
382027,53,愛媛県今治市,ところミュージアム大三島,トコロミュージアムオオミシマ,382027,33000,愛媛県今治市大三島町浦戸2362-3,愛媛県,今治市,大三島町浦戸,2362-3,,34.215,132.95219,,,屋外通路壁面,,,7941308,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357013
382027,54,愛媛県今治市,大三島美術館,オオミシマビジュツカン,382027,38000,愛媛県今治市大三島町宮浦9099-1,愛媛県,今治市,大三島町宮浦,9099-1,,34.24913,133.00351,,,受付近くの自動ドア外壁面,,,7941304,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357012
382027,55,愛媛県今治市,村上海賊ミュージアム,ムラカイゾクミュージアム,382027,198000,愛媛県今治市宮窪町宮窪1285,愛媛県,今治市,宮窪町宮窪,1285,,34.16884,133.08744,階数,1,1Fロビー階段側面,,,7942203,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357011
382027,56,愛媛県今治市,大西藤山歴史資料館,オオニシフジヤマレキシシリョウカン,382027,27000,愛媛県今治市大西町宮脇乙579-1,愛媛県,今治市,大西町宮脇,乙579-1,,34.060089,132.92914,,,玄関スペース,,,7992205,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357010
382027,57,愛媛県今治市,朝倉ふるさと美術古墳館,アサクラフルサトビジュツコフンカン,382027,4000,愛媛県今治市朝倉下898,愛媛県,今治市,朝倉下,898,,33.99961,133.00762,階数,1,1階正面玄関,,,7991603,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357009
382027,58,愛媛県今治市,吉海郷土文化センター,ヨシウミキョウドブンカセンター,382027,216000,愛媛県今治市吉海町福田1290,愛媛県,今治市,吉海町福田,1290,,34.155,133.04248,階数,1,1階ロビー 階段右側壁面,,,7942103,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357008
382027,59,愛媛県今治市,今治城,イマバリジョウ,382027,139003,愛媛県今治市通町三丁目1-3,愛媛県,今治市,通町三丁目,1-3,,34.06334,133.00682,,,職員玄関口,,,7940036,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357007
382027,60,愛媛県今治市,河野美術館,コウノビジュツカン,382027,6001,愛媛県今治市旭町一丁目4-8,愛媛県,今治市,旭町一丁目,4-8,,34.06274,132.99898,階数,1,1階玄関ロビー,,,7940042,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357006
382027,61,愛媛県今治市,上浦歴史民俗資料館,カミウラレキシミンゾクシリョウカン,382027,46000,愛媛県今治市上浦町井口7505,愛媛県,今治市,上浦町井口,7505,,34.25571,133.05395,,,受付窓口横,,,7941402,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357005
382027,62,愛媛県今治市,玉川近代美術館,タマガワキンダイビジュツカン,382027,113000,愛媛県今治市玉川町大野甲86-4,愛媛県,今治市,玉川町大野,甲86-4,,34.02204,132.94453,階数,1,1階玄関ロビー,,,7940102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357004
382027,63,愛媛県今治市,(旧)今治市立上朝小学校,(キュウ)イマバリシリツカミアサショウガッコウ,382027,2000,愛媛県今治市朝倉上甲776-1,愛媛県,今治市,朝倉上,甲776-1,,33.97638,133.00655,,,体育館玄関内の棚,,,7991607,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357003
382027,64,愛媛県今治市,(旧)今治市立城東小学校,(キュウ)イマバリシリツジョウトウショウガッコウ,382027,177004,愛媛県今治市東門町四丁目3-16,愛媛県,今治市,東門町四丁目,3-16,,34.05976,133.01385,,,体育館玄関,,,7940033,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357002
382027,65,愛媛県今治市,(旧)今治市立日吉小学校,(キュウ)イマバリシリツヒヨシショウガッコウ,382027,192001,愛媛県今治市南宝来町一丁目6-1,愛媛県,今治市,南宝来町一丁目,6-1,,34.06182,132.99864,,,体育館玄関,,,7940043,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357001
382027,66,愛媛県今治市,(旧)今治市立美須賀小学校,(キュウ)イマバリシリツミスカショウガッコウ,382027,88001,愛媛県今治市黄金町一丁目9-2,愛媛県,今治市,黄金町一丁目,9-2,,34.06587,133.00355,,,体育館玄関,,,7940037,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357000
