No,ID,名前,場所,緯度,経度,URL,地区,年度
510,a5K7F000001YlTbUAK,ダンボエ池,今治市伯方町叶浦,34.21125,133.0802778,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_18.pdf?1,伯方地区,令和4年
511,a5K7F000001YlTcUAK,富計の池,今治市伯方町叶浦,34.20877778,133.0783889,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_19.pdf?1,伯方地区,令和4年
512,a5K7F000001YlTdUAK,(叶浦)山田池,今治市伯方町叶浦,34.20727778,133.0843889,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_20.pdf?1,伯方地区,令和4年
513,a5K7F000001YlTeUAK,浜ノ上第1池,今治市伯方町叶浦,34.20172222,133.0785556,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_21.pdf?1,伯方地区,令和4年
514,a5K7F000001YlTfUAK,和佐田第2池,今治市伯方町伊方,34.22511111,133.0773889,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_22.pdf?1,伯方地区,令和4年
515,a5K7F000001YlTgUAK,和佐田第1池,今治市伯方町伊方,34.22736111,133.07525,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_23.pdf?1,伯方地区,令和4年
516,a5K7F000001YlThUAK,向山池,今治市伯方町伊方,34.22527778,133.0724167,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_24.pdf?1,伯方地区,令和4年
517,a5K7F000001YlTiUAK,奥池,今治市伯方町伊方,34.22483333,133.0730833,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_25.pdf?1,伯方地区,令和4年
518,a5K7F000001YlTjUAK,枝越ハス池,今治市伯方町伊方,34.21388889,133.06875,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_26.pdf?1,伯方地区,令和4年
519,a5K7F000001YlTkUAK,荒神第1池,今治市伯方町伊方,34.21316667,133.0709167,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_27.pdf?1,伯方地区,令和4年
520,a5K7F000001YlTlUAK,船越池,今治市伯方町北浦,34.23108333,133.1041667,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_28.pdf?1,伯方地区,令和4年
521,a5K7F000001YlTmUAK,小深山池,今治市伯方町北浦,34.22247222,133.0933333,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_29.pdf?1,伯方地区,令和4年
522,a5K7F000001YlTnUAK,松山寺池,今治市伯方町北浦,34.224,133.0914444,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_30.pdf?1,伯方地区,令和4年
523,a5K7F000001YlToUAK,小坂池（北浦）,今治市伯方町北浦,34.22677778,133.09175,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_31.pdf?1,伯方地区,令和4年
524,a5K7F000001YlTqUAK,大池,今治市伯方町北浦,34.22191667,133.0954722,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_32.pdf?1,伯方地区,令和4年
525,a5K7F000001YlTrUAK,新池,今治市伯方町北浦,34.21747222,133.0951944,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_33.pdf?1,伯方地区,令和4年
526,a5K7F000001YlVPUA0,神田池,今治市伯方町叶浦,34.20530556,133.07775,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_34.pdf?1,伯方地区,令和4年
527,a5K7F000001YlVQUA0,松山下池,今治市伯方町北浦,34.22338889,133.0923889,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_35.pdf?1,伯方地区,令和4年
534,a5K7F000001YlTIUA0,河原木塚池,今治市伯方町木浦,34.212,133.1259167,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R3_01.pdf,伯方地区,令和3年
535,a5K7F000001YlTJUA0,折口池,今治市伯方町木浦,34.21083333,133.1198333,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R3_02.pdf,伯方地区,令和3年
536,a5K7F000001YlTpUAK,ドンデ池,今治市伯方町北浦,34.21841667,133.0886389,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/dondeike.pdf,伯方地区,
537,a5K7F000001YlTsUAK,神田池,今治市上浦町盛,34.29347222,133.0200833,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_01.pdf?1,上浦地区,令和4年
538,a5K7F000001YlTtUAK,田高田下池,今治市上浦町盛,34.29133333,133.02175,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_02.pdf?1,上浦地区,令和4年
539,a5K7F000001YlTuUAK,セガイ下池,今治市上浦町盛,34.28986111,133.0212222,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_03.pdf?1,上浦地区,令和4年
540,a5K7F000001YlTvUAK,セガイ上池,今治市上浦町盛,34.28963889,133.02,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_04.pdf?1,上浦地区,令和4年
541,a5K7F000001YlTwUAK,ミノコシ池,今治市上浦町盛,34.28802778,133.0248056,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_05.pdf?1,上浦地区,令和4年
542,a5K7F000001YlTxUAK,宮の下池,今治市上浦町井口,34.27172222,133.0340556,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_06.pdf?1,上浦地区,令和4年
543,a5K7F000001YlTyUAK,能敷池,今治市上浦町井口,34.25875,133.0346389,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_07.pdf?1,上浦地区,令和4年
544,a5K7F000001YlTzUAK,大池,今治市上浦町井口,34.26152778,133.0381389,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_08.pdf?1,上浦地区,令和4年
545,a5K7F000001YlU0UAK,小丸子池,今治市上浦町甘崎,34.24483333,133.0443611,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_09.pdf?1,上浦地区,令和4年
546,a5K7F000001YlU1UAK,三軒屋池,今治市上浦町甘崎,34.24377778,133.0485278,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_10.pdf?1,上浦地区,令和4年
