名称,テーマ,分類,所在地,リンク,緯度,経度
本町児童館,子育て支援施設,公共施設,今治市本町5丁目2番24号,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,34.07392467,132.9977513
枝堀児童館,子育て支援施設,公共施設,今治市枝堀町1丁目4番地1,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,34.06221181,133.0092201
桜井保育所,子育て支援施設,公共施設,今治市登畑甲40番地,https://www.city.imabari.ehime.jp/hoiku/,34.02224267,133.0219678
樋口保育所,子育て支援施設,公共施設,今治市波方町養老甲1024番地,https://www.city.imabari.ehime.jp/hoiku/,34.10124027,132.9473661
樋口児童館,子育て支援施設,公共施設,今治市波方町樋口甲1755番地1,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,34.10142207,132.9493632
菊間保育所,子育て支援施設,公共施設,今治市菊間町長坂1999番地,https://www.city.imabari.ehime.jp/hoiku/,34.03266336,132.8449585
菊間児童館,子育て支援施設,公共施設,今治市菊間町長坂2001番地,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,34.03327834,132.8455675
鳥生保育所,子育て支援施設,公共施設,今治市北鳥生町3丁目1番15号,https://www.city.imabari.ehime.jp/hoiku/,34.05431556,133.0072291
大三島ふるさと憩の家,宿泊施設,観光情報,今治市大三島町宗方5208-1,https://www.ikoinoie.co.jp/,34.19482564,132.9534944
今治市みやくぼ石文化交流館,宿泊研修施設,スポーツ・レクリエーション,今治市宮窪町宮窪3543番地,https://www.city.imabari.ehime.jp/sports/shisetsu/syukuhaku_miyakubo/,34.16123465,133.0716647
今治市大三島少年自然の家,宿泊研修施設,スポーツ・レクリエーション,今治市大三島町肥海4762番地1,https://www.city.imabari.ehime.jp/sgakusyuu/kominkan/syukuhaku_omisima/,34.26857335,132.9829616
今治市朝倉ふれあい交流センター,宿泊研修施設,スポーツ・レクリエーション,今治市朝倉下乙104番地2,https://www.city.imabari.ehime.jp/sports/shisetsu/syukuhaku_asakura/,34.00036804,133.0063084
今治市滞在型農園施設　ラントゥレーベン大三島,宿泊研修施設,スポーツ・レクリエーション,今治市大三島町野々江2312番地1,https://www.city.imabari.ehime.jp/nourin/rant/,34.21813633,132.9872311
今治市移住体験施設　クルツラントゥレーベン大三島,宿泊研修施設,スポーツ・レクリエーション,今治市大三島町野々江666番地,https://www.city.imabari.ehime.jp/nourin/rant/kurz.html,34.21786627,132.9860819
今治市吹揚小学校,小学校,公共施設,今治市黄金町3丁目3番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.0622991,133.0049975
今治市岡村小学校,小学校,公共施設,今治市関前岡村甲415番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.18780307,132.8833636
今治市立上浦小学校,小学校,公共施設,今治市上浦町井口4497番地1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.26317072,133.0321337
今治市立乃万小学校,小学校,公共施設,今治市延喜甲349番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.06415121,132.9576429
今治市立九和小学校,小学校,公共施設,今治市玉川町摺木甲71番地1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.02127889,132.938521
今治市立亀岡小学校,小学校,公共施設,今治市菊間町種52番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.05490986,132.8733293
今治市立伯方小学校,小学校,公共施設,今治市伯方町木浦甲3599番地2,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.20490638,133.1114792
今治市立別宮小学校,小学校,公共施設,今治市別宮町5丁目1番地7,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.07114666,132.9921342
今治市立吉海小学校,小学校,公共施設,今治市吉海町八幡157番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.14444185,133.0409612
今治市立国分小学校,小学校,公共施設,今治市古国分2丁目7番1号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.03299977,133.031394
今治市立大三島小学校,小学校,公共施設,今治市大三島町宮浦5145番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.24659581,133.0010951
今治市立大西小学校,小学校,公共施設,今治市大西町大井浜103番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.06384023,132.9229322
今治市立宮窪小学校,小学校,公共施設,今治市宮窪町宮窪4765番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.17214218,133.0724239
